MOLEX/15-91-3060	J1	165.54200744628906	-66.61150360107422	0
SAMSUNG/CL05B104KO5NNNC	C3	158.04100036621094	-78.56230163574219	270
SAMSUNG/CL05B104KO5NNNC	C5	162.50399780273438	-77.53600311279297	90
SAMSUNG/CL05B104KO5NNNC	C4	159.7790069580078	-78.12020111083984	0
SAMSUNG/CL05B104KO5NNNC	C1	168.34100341796875	-76.16439819335938	90
SAMSUNG/CL05B104KO5NNNC	C11	182.8800048828125	-68.70700073242188	0
SAMSUNG/CL05B104KO5NNNC	C12	187.91700744628906	-80.50779724121094	180
SAMSUNG/CL05B104KO5NNNC	C14	191.5919952392578	-71.60260009765625	270
KEMET/C0805C106K8PACTU	C2	160.41900634765625	-79.87789916992188	0
YAGEO/CC0402KRX7R7BB103	C13	179.5780029296875	-76.05000305175781	90
YAGEO/CC0402KRX7R7BB103	C6	156.62100219726563	-77.52330017089844	270
SAMSUNG/CL05C101JB5NNNC	C7	173.8780059814453	-72.57559967041016	90
YAGEO/CC0402JRNPO9BN100	C9	177.1649932861328	-70.61199951171875	90
YAGEO/CC0402JRNPO9BN100	C8	179.07000732421875	-70.61199951171875	90
AVX/08053D475KAT2A	C10	181.91299438476563	-66.92900085449219	0
AVX/08053D475KAT2A	C16	193.35699462890625	-70.8279037475586	270
YAGEO/CC0805KKX7R8BB105	C18	200.0050048828125	-77.72149658203125	90
YAGEO/CC0805KKX7R8BB105	C15	177.54600524902344	-77.010498046875	90
YAGEO/CC0805KKX7R8BB105	C20	193.0760040283203	-77.66280364990234	90
YAGEO/CC0402KRX7R8BB472	C17	200.0500030517578	-71.03359985351563	90
MURATA/BLM18HK601SN1D	FB1	174.625	-77.97799682617188	180
MOLEX/47346-0001	J6	204.2740020751953	-73.72160339355469	90
YAGEO/RC0402FR-0710KL	R1	165.4199981689453	-79.97440338134766	0
YAGEO/RC0402FR-0710KL	R3	185.74000549316406	-66.95709991455078	90
YAGEO/RC0402JR-07330RL	R2	173.8780059814453	-74.65299987792969	90
YAGEO/RC0402FR-072K2L	R4	174.71200561523438	-76.49210357666016	0
SAMSUNG/RC1005J391CS	R5	178.68899536132813	-74.16799926757813	180
YAGEO/RC0402FR-070RL	R8	175.1739959716797	-74.65299987792969	270
YAGEO/RC0402FR-070RL	R6	195.947998046875	-71.53669738769531	270
YAGEO/RC0402FR-070RL	R7	191.02099609375	-67.0790023803711	270
YAGEO/RC0402JR-071ML	R9	198.3990020751953	-71.05660247802734	90
AD/AD9837BCPZ-RL7	U1	159.14599609375	-75.23729705810547	90
STMICRO/STM32F072C8T6	U2	185.51800537109375	-74.6760025024414	0
MICROCHIP/MIC5504-3.3YM5-T5	U3	196.6439971923828	-77.70359802246094	180
EPSON/SG5032CAN 16.000000M-TJGA3	X1	165.46299743652344	-76.16439819335938	90
DNP	Y1	178.14500427246094	-72.64399719238281	180
CK/KMR211GLFS	SW1	175.3489990234375	-64.0385971069336	0
